127.0.0.1 - - [29/Apr/2024:09:37:49 +0900] "GET / HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:37:50 +0900] "GET / HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:37:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:37:56 +0900] "POST /memb/login HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:37:58 +0900] "GET /brd/list HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:37:58 +0900] "GET /_fileUpload/_th_1713763979085_%EB%B9%84%EC%88%91%ED%94%84%EB%A6%AC%EC%A0%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:37:58 +0900] "GET /_fileUpload/_th_1713764203513_%EC%8A%A4%ED%95%91%ED%81%AC%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:37:58 +0900] "GET /_fileUpload/_th_1713766355340_%EB%9F%AC%EC%8B%9C%EC%95%88%EB%B8%94%EB%A3%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:37:58 +0900] "GET /_fileUpload/_th_1713764190459_%ED%86%A0%EC%9D%B4%ED%91%B8%EB%93%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:38:01 +0900] "GET /brd/detail?bno=890 HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:38:01 +0900] "GET /_fileUpload/1713764190459_%ED%86%A0%EC%9D%B4%ED%91%B8%EB%93%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:38:01 +0900] "GET /resources/board_detail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:38:01 +0900] "GET /cmt/list?bno=890 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:38:03 +0900] "GET /brd/list HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:38:13 +0900] "GET /index.jsp HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [29/Apr/2024:09:38:17 +0900] "GET /brd/list HTTP/1.1" 200 4784
